author	vendor	magnet	software	stc	mc	ss	dr	hmp	ts	ff	or	droi	resp	doi
Alegria et al., (2017)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.23584
Amano et al., (2016)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.cub.2016.05.014
Auer et al., (2015)	Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2015.00547
Banca et al., (2015)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1088/1741-2560/12/6/066003
Berman et al., (2012)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2011.07.035
Berman et al., (2013)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.3389/fnhum.2013.00638
Blefari et al., (2015)	Philips	1.5T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnbeh.2015.00018
Bray et al., (2007)	Siemens	3T	AFNI	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.2118-07.2007
Bruehl et al., (2014)	Philips	3T	TBV	DNR	Y	DNR	Y	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1007/s10548-013-0331-9
Canterberry et al., (2013)	Siemens	3T	TBV	DNR	Y	8MM	DNR	DNR	6PT	DNR	DNR	N	DNR	10.1093/ntr/ntt122
"Caria et al., (2007); Lee et al., (2011)"	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2007.01.018
Caria et al., (2010)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.biopsych.2010.04.020
Chiew et al., (2012)	Siemens	3T	AFNI	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2012.02.053
Cohen Kadosh et al., (2015)	GE	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2015.09.070
Cordes et al., (2015)	Siemens	3T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	RT	10.3389/fnbeh.2015.00169
Cortese et al., (2016, 2017)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	3PT	DNR	DNR	N	DNR	10.1038/ncomms13669
Debettencourt et al., (2015)	Siemens	3T	Custom Matlab + SPM	DNR	Y	5MM	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1038/nn.3940
deCharms et al., (2004)	GE	3T	Custom Other	DNR	DNR	DNR	DNR	DNR	DNR	BANDPASS	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2003.08.041
deCharms et al., (2005)	GE	3T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	BANDPASS	DNR	Y	ROI DIFF	10.1073/pnas.0505210102
Emmert et al. (2017b)	Siemens	3T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR	10.1016/j.nicl.2016.12.023
Emmert et al., (2014, 2017a)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnbeh.2014.00350
Frank et al., 2012	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0042570
Garrison et al., (2013)	Siemens	1.5T	BioImage Suite	DNR	Y	DNR	Y	DNR	5PT	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2013.05.030
Greer et al., (2014)	GE	1.5T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	MONITOR EXCLUSION	10.1016/j.neuroimage.2014.03.073
Groene et al., (2015)	Siemens	3T,7T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	DNR	10.1007/s10548-014-0384-4
Guan et al., (2015)	GE	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.7910/DVN/27368
Habes et al., (2016)	GE	3T	TBV	DNR	Y	DNR	Y	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuropsychologia.2016.03.031
Haller et al., (2010)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1007/s00330-009-1595-z
Hamilton et al., (2011)	GE	1.5T	Custom Other	DNR	DNR	DNR	DNR	DNR	DNR	LOWPASS	DNR	N	DNR	10.1002/hbm.20997
Hamilton et al., (2016)	GE	3T	Custom Other	DNR	Y	DNR	DNR	Y	DNR	DNR	DNR	N	RT	10.1016/j.pscychresns.2016.01.016
Hampson et al., 2011	Siemens	1.5T	BioImage Suite	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1089/brain.2011.0002
Hanlon et al., (2013)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.pscychresns.2013.03.003
Harmelech et al., (2013)	Siemens	3T	TBV	Y	Y	4MM	Y	Y	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.5911-12.2013
Harmelech et al., (2015)	Siemens	3T	TBV	Y	Y	4MM	Y	Y	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.3098-14.2015
Hartwell et al., (2016)	Siemens	3T	TBV	DNR	Y	8MM	Y	DNR	6PT	DNR	DNR	N	DNR	10.1503/jpn.140200
Hohenfeld et al., (2017)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fneur.2017.00384
"Hui et al., (2014); Xie et al., (2015)"	Siemens	3T	TBV	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuropsychologia.2014.07.012
Johnson et al., (2012)	Siemens	3T	TBV	DNR	Y	8MM	DNR	DNR	2PT	DNR	DNR	N	DNR	10.1111/j.1552-6569.2010.00529.x
Johnston et al., (2009)	Philips	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2009.07.056
Johnston et al., (2011)	Philips	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3758/s13415-010-0010-1
Karch et al., (2015)	Philips	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0133034
Kim et al., (2015)	Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	BANDPASS	Y	3PT	DNR	DNR	N	DNR	10.1162/jocn_a_00802
Kirsch et al., (2016)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1111/adb.12278
Koizumi et al., (2016)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1038/s41562-016-0006
Koush et al., (2013)	Siemens	3T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR + OFFLINE CORR	10.1016/j.neuroimage.2013.05.010
Koush et al., (2017)	Siemens	3T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR + OFFLINE CORR	10.1093/cercor/bhv311
Lawrence et al., (2014)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2013.10.069
Li et al., (2012)	Siemens	3T	TBV	DNR	Y	8MM	DNR	DNR	6PT	DNR	DNR	N	DNR	10.1111/j.1369-1600.2012.00449.x
Li et al., (2016a, 2016b)	GE	3T	AFNI	DNR	Y	Y	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1007/s00221-016-4744-z
Linden et al., (2012)	Philips	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0038115
MacInnes  et al., (2016)	GE	3T	Custom Other	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuron.2016.02.002
Marins et al., (2015)	Philips	3T	FRIEND	DNR	Y	5MM	DNR	DNR	DNR	DNR	DNR	N	N	10.3389/fnbeh.2015.00341
Marxen et al., (2016)	Siemens	3T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.3389/fnhum.2016.00183
Mathiak et al., (2015)	Siemens	3T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR	10.3389/fnbeh.2015.00136
McCaig et al., 2011	Philips	3T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	BANDPASS	Y	N	DNR	10.1016/j.neuroimage.2010.12.016
Megumi et al., (2015)	Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2015.00160
Moll et al., (2014)	Philips	3T	FRIEND	DNR	Y	Y	Y	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0097343
Nicholson et al., (2017)	Siemens	3T	TBV	DNR	Y	4MM	DNR	DNR	4PT	DNR	DNR	N	DNR	10.1002/hbm.23402
Paret et al., (2014, 2016a)	Siemens	3T	TBV	DNR	Y	4MM	DNR	DNR	4PT	DNR	DNR	N	DNR	10.3389/fnbeh.2014.00299
Paret et al., (2016b)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	Y	DNR	DNR	N	DNR	10.1093/scan/nsw016
Perronnet et al., (2017)	Siemens	3T	Custom Matlab + SPM	Y	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/FNHUM.2017.00193
Ramot  et al., (2016)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1073/pnas.1516857113
Rance et al., (2014a)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.3389/fnbeh.2014.00357
Rance et al., (2014b)	Siemens	3T	TBV	DNR	Y	DNR	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.22585
Robineau et al., (2014, 2017a)	Siemens	3T	TBV	DNR	Y	Y	DNR	DNR	3PT	DNR	DNR	Y	ROI DIFF + OFFLINE CORR	10.1016/j.neuroimage.2014.05.072
Robineau et al., (2017b)	Siemens	3T	TBV	DNR	Y	Y	DNR	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1080/09602011.2017.1301262 
Rota et al., (2009, 2011)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.20621
Ruiz et al., (2013)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.21427
Sarkheil et al., (2015)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.bbr.2014.11.027
Scharnowski et al., (2012, 2014)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF + OFFLINE CORR	10.1523/JNEUROSCI.6334-11.2012
Scharnowski et al., (2015)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.biopsycho.2015.03.009
"Scheinost et al., (2013); Radua et al., (2016)"	Siemens	3T	BioImage Suite	Y	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1038/tp.2013.24
Sepulveda et al., (2016)	Philips	1.5T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.23228
Sherwood et al., (2016a, 2016b)	Siemens	1.5T	Custom Matlab + SPM	DNR	Y	9MM	DNR	DNR	5PT	DNR	DNR	N	DNR	10.1016/j.neuroimage.2015.08.074
Shibata et al., (2011)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1126/science.1212003
Shibata et al., (2016)	Siemens	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pbio.1002546
"Sokunbi et al., (2014); Ihssen et al., (2017)"	GE	3T	TBV	DNR	Y	Y	DNR	DNR	Y	DNR	DNR	N	DNR	10.3389/fnbeh.2014.00392
Sorger et al., (2016)	Siemens	1.5T,3T	TBV	DNR	Y	Y	Y	DNR	DNR	HIGHPASS	DNR	N	OFFLINE CORR	10.1016/j.neuroscience.2016.09.026
Sousa et al., (2016)	Siemens	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0155961
Spetter et al., (2017)	Siemens	3T	TBV	DNR	Y	9MM	DNR	DNR	DNR	DNR	DNR	N	RT CORR +REG	10.1016/j.appet.2017.01.032
Subramanian et al., (2011)	Philips	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.3498-11.2011
Subramanian et al., (2016)	GE	3T	TBV	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.3389/fnbeh.2016.00111
Sulzer et al., (2013)	Philips	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2013.05.115
