vendor	magnet	software	stc	mc	ss	dr	hmp	ts	ff	or	droi	resp	doi
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.23584
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.cub.2016.05.014
Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2015.00547
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1088/1741-2560/12/6/066003
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2011.07.035
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.3389/fnhum.2013.00638
Philips	1.5T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnbeh.2015.00018
Siemens	3T	AFNI	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.2118-07.2007
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1007/s10548-013-0331-9
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	6PT	DNR	DNR	N	DNR	10.1093/ntr/ntt122
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2007.01.018
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.biopsych.2010.04.020
Siemens	3T	AFNI	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2012.02.053
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2015.09.070
Siemens	3T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	RT	10.3389/fnbeh.2015.00169
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	DNR	10.1038/ncomms13669
Siemens	3T	Custom Matlab + SPM	DNR	Y	5MM	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1038/nn.3940
GE	3T	Custom Other	DNR	DNR	DNR	DNR	DNR	DNR	BANDPASS	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2003.08.041
GE	3T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	BANDPASS	DNR	Y	ROI DIFF	10.1073/pnas.0505210102
Siemens	3T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR	10.1016/j.nicl.2016.12.023
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnbeh.2014.00350
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0042570
Siemens	1.5T	BioImage Suite	DNR	Y	DNR	Y	DNR	5PT	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2013.05.030
GE	1.5T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	MONITOR EXCLUSION	10.1016/j.neuroimage.2014.03.073
Siemens	3T,7T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	DNR	10.1007/s10548-014-0384-4
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.7910/DVN/27368
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuropsychologia.2016.03.031
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1007/s00330-009-1595-z
GE	1.5T	Custom Other	DNR	DNR	DNR	DNR	DNR	DNR	LOWPASS	DNR	N	DNR	10.1002/hbm.20997
GE	3T	Custom Other	DNR	Y	DNR	DNR	Y	DNR	DNR	DNR	N	RT	10.1016/j.pscychresns.2016.01.016
Siemens	1.5T	BioImage Suite	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1089/brain.2011.0002
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.pscychresns.2013.03.003
Siemens	3T	TBV	Y	Y	4MM	IGLM	Y	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.5911-12.2013
Siemens	3T	TBV	Y	Y	4MM	IGLM	Y	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.3098-14.2015
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	6PT	DNR	DNR	N	DNR	10.1503/jpn.140200
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.3389/fneur.2017.00384
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuropsychologia.2014.07.012
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	2PT	DNR	DNR	N	DNR	10.1111/j.1552-6569.2010.00529.x
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2009.07.056
